,Date,percip_mm,humidity,temp,leafwet450_min,leafwet460_min,leafwet_lwscnt,gusts_ms,wind_dir,wind_ms,yield,hour.x,T,P0,P,U,DD,Ff,ff10,WW,W.W.,c,VV,Td,X,Tsi,Posi,Psi,Pasi,Usi,Ddsi,Ffsi,Nsi,Wwsi,W1si,W2si,Tnsi,Txsi,Clsi,Nhsi,His,Cmsi,Chsi,Vvsi,Tdsi,RRRsi,tRsi,Esi,Tgsi,E.si,ssssi,hour.y
1,11/23/13 16:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,20,733.5,759.7,64,Wind blowing from the north,6,NA,,,Broken clouds (60-90%) 480 m,10.0 and more,13,NA,16.8,753.3,758.5,NA,92,Wind blowing from the north-northeast,5,"90  or more, but not 100%", ,,,16.7,NA,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6,15.4,3,24,Surface of ground moist.,15,,NA,16
2,11/23/13 18:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,11/23/13 20:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11/23/13 22:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,11/28/13 0:00,0,0.419515936,8.183333556,0,0,440,3.382229676,125.25,3.030176014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11/28/13 2:00,0,0.422065084,8.120833675,0,0,440,3.482816428,124.5,3.155909469,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,11/28/13 4:00,0,0.369993997,8.562500079,0,0,439.2916667,3.403185248,124.3333333,3.08466054,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,11/28/13 6:00,0,0.382980345,8.391666651,0,0,439,3.33612739,126.9166667,3.055322746,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,11/28/13 8:00,0,0.377310103,9.158333381,0,0,439,3.927074601,120.9166667,3.629505475,0,8,14,737.4,764.3,23,Wind blowing from the east,6,NA,,,No Significant Clouds,10.0 and more,-7,NA,22.2,758,763.1,NA,30,Wind blowing from the east-southeast,11,20-30%, ,,,22.1,NA,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,3.9,,NA,"Dry (without cracks, no appreciable amount of dust or loose sand)",16,,NA,8
10,11/28/13 10:00,0,0.347650087,10.97916667,0,0,438.7916667,3.910310139,121.5833333,3.533109794,0.0696767,10,19,737.9,764.3,40,Wind blowing from the east,8,NA,,,No Significant Clouds,10.0 and more,5,NA,22.5,758.6,763.7,0.1,28,Wind blowing from the south-east,8,"90  or more, but not 100%", ,,,NA,NA,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,2.8,,NA,,NA,,NA,10
