"","X","percip_mm","humidity","temp","leafwet450_min","leafwet460_min","leafwet_lwscnt","gusts_ms","wind_dir","wind_ms","yieldlag","hour","month","day","year","yield"
"5803","2013-12-14 00:00:00",0,0.507858225455,10.7666668495,0,0,441.541666667,1.56328585123,159.625,1.23637888643,0,1,12,14,1,0
"5804","2013-12-14 02:00:00",0,0.532834296425,10.3375000159,0,0,442,2.0368818293,146.75,1.67644595106,0,2,12,14,1,0
"5805","2013-12-14 04:00:00",0,0.530343892674,10.2291665872,0,0,442,1.98239732782,144.708333333,1.65129925311,0,3,12,14,1,0
"5806","2013-12-14 06:00:00",0,0.543480711679,9.87083331744,0,0,442,1.73512155314,142.541666667,1.35792120795,0,4,12,14,1,0
"5807","2013-12-14 08:00:00",0,0.583826941749,9.81249992053,0,0,442,2.79547359546,121.166666667,2.40569989383,0,5,12,14,1,0
"5808","2013-12-14 10:00:00",0,0.565575383604,10.7416667144,0,0,441.833333333,3.19362952312,116.75,2.62782901525,0,6,12,14,1,0
"5809","2013-12-14 12:00:00",0,0.499521265427,12.6583334207,0,0,441,4.24559928974,105.625,3.4283319513,0,7,12,14,1,0
"5810","2013-12-14 14:00:00",0,0.455390160282,12.8999997377,0,0,441,3.49958093961,109.708333333,2.95473596454,0,8,12,14,1,0
"5811","2013-12-14 16:00:00",0,0.454987980425,12.370833238,0,0,441.083333333,2.65297569831,109.625,2.19195306798,0,9,12,14,1,0
"5812","2013-12-14 18:00:00",0,0.585269228866,10.5708333254,0,0,443.25,2.77451805274,79.375,2.34702430665,0,10,12,14,1,0
"5813","2013-12-14 20:00:00",0,0.493101917207,11.0375000238,0,0,442,4.95389770468,99.1666666667,3.94803019365,0,11,12,14,1,0
"5814","2013-12-14 22:00:00",0.183333337307,0.481313608587,11.0000000397,0,0,441.875,6.6806370616,103.375,5.07544008891,0,12,12,14,1,0
"5815","2013-12-15 00:00:00",0.69999999615,0.523409013947,10.2666666508,0,0,442,7.5104778409,105.708333333,6.25733451049,0,1,12,15,1,0
"5816","2013-12-15 02:00:00",3.57499993592,0.542862221598,9.80416659514,0,0,442,9.09052813053,98.75,7.90863368909,0,2,12,15,1,0
"5817","2013-12-15 04:00:00",2.96666665437,0.510232284665,9.75000007947,0,0,442,7.86253148317,105.416666667,6.75188604991,0,3,12,15,1,0
"5818","2013-12-15 06:00:00",1.19166666766,0.510506357998,9.47083318233,0,0,442,5.88432524602,111.916666667,5.31014251709,0,4,12,15,1,0
"5819","2013-12-15 08:00:00",1.03333333507,0.519042316824,9.85416666668,0,0,441.75,5.71248952548,116.166666667,5.15507125855,0,5,12,15,1,0
"5820","2013-12-15 10:00:00",0.0583333354443,0.463102146983,11.2833333413,0,0,441,5.04191124439,116.041666667,4.53478632371,0,6,12,15,1,0
"5821","2013-12-15 12:00:00",0,0.406650044024,12.4958333174,0,0,440.041666667,4.74853311976,109.875,3.86839900414,0,7,12,15,1,0
"5822","2013-12-15 14:00:00",0,0.391219838212,12.6458334128,0,0,440,4.64375521739,104.833333333,3.57082986831,0,8,12,15,1,0
"5823","2013-12-15 16:00:00",0,0.392281488826,11.9291666349,0,0,440.333333333,2.69488684833,111.25,2.1290863504,0,9,12,15,1,0
"5824","2013-12-15 18:00:00",0,0.411196390788,11.1916666826,0,0,441,2.31768648823,111.25,1.88181058566,0,10,12,15,1,0
"5825","2013-12-15 20:00:00",0,0.445243917405,10.4249999126,0,0,441,4.18692368269,111.541666667,3.56244759758,0,11,12,15,1,0
"5826","2013-12-15 22:00:00",0,0.432766099771,10.387499849,0,0,441,4.45515506466,114.708333333,3.89354566733,0,12,12,15,1,0
"5827","2013-12-16 00:00:00",0,0.456111459682,10.0416666667,0,0,441.333333333,4.70662198464,113.708333333,4.29170160492,0,1,12,16,1,0
"5828","2013-12-16 02:00:00",0.141666668157,0.527008599291,9.19999996821,1.79166666667,0.333333333333,447.375,6.13998325666,108.416666667,5.43168489138,0,2,12,16,1,0
"5829","2013-12-16 04:00:00",0.233333337431,0.64382314682,8.15000011524,2.66666666667,2.54166666667,477.541666667,6.63034373522,107.791666667,5.51550716162,0,3,12,16,1,0
"5830","2013-12-16 06:00:00",0.0500000013659,0.670982753237,7.81250013908,5,4.45833333333,483.791666667,6.77284151316,101.416666667,5.44425819318,0,4,12,16,1,0
"5831","2013-12-16 08:00:00",0.516666664432,0.611351514856,8.01250030597,1.75,0.833333333333,451.958333333,7.4895222187,98.875,5.86336966356,0,5,12,16,1,0
"5832","2013-12-16 10:00:00",0.349999998386,0.699911500017,6.82916667064,3.95833333333,3.95833333333,571.25,7.18776190281,99.9166666667,5.75440071027,0,6,12,16,1,0
"5833","2013-12-16 12:00:00",0.358333328739,0.843885873755,5.57499992848,5,5,674.458333333,7.70746018489,100.458333333,6.28667229414,0,7,12,16,1,0
"5834","2013-12-16 14:00:00",0.0250000003725,0.668607247372,3.50833325585,5,5,690.833333333,6.34534786145,102.875,4.92455999057,0,8,12,16,1,0
"5835","2013-12-16 16:00:00",0.0083333334575,0.542067832003,2.90833334128,5.04166666667,5,547.875,6.03101432324,105.75,4.98742665847,0,9,12,16,1,0
"5836","2013-12-16 18:00:00",0,0.846938801309,5.69999982914,5,5,495.416666667,4.50544850032,115.291666667,4.03604363402,0,10,12,16,1,0
"5837","2013-12-16 20:00:00",0,0.824193817874,5.69999986887,5,5,485.625,4.25398156047,112.541666667,3.73009216785,0,11,12,16,1,0
"5838","2013-12-16 22:00:00",0,0.780117849509,6.06666670243,5,5,476.291666667,3.16429171959,126.125,2.52724226316,0,12,12,16,1,0
"5839","2013-12-17 00:00:00",0,0.772140858074,6.00000011921,5,5,475.208333333,2.73679800828,129.333333333,2.24643756946,0,1,12,17,1,0
"5840","2013-12-17 02:00:00",0,0.746054202318,6.37083339691,5,5,469.5,1.99497067432,134.75,1.66806372503,0,2,12,17,1,0
"5841","2013-12-17 04:00:00",0,0.709077152113,6.89583341281,5,5,464.416666667,1.83151720464,140.416666667,1.50041911006,0,3,12,17,1,0
