Date,percip_mm,humidity,temp,leafwet450_min,leafwet460_min,leafwet_lwscnt,gusts_ms,wind_dir,wind_ms,yield,
11/23/13 16:00,,,,,,,,,,0,
11/23/13 18:00,,,,,,,,,,0,
11/23/13 20:00,,,,,,,,,,0,
11/23/13 22:00,,,,,,,,,,0,
11/28/13 0:00,0,0.419515936,8.183333556,0,0,440,3.382229676,125.25,3.030176014,0,
11/28/13 2:00,0,0.422065084,8.120833675,0,0,440,3.482816428,124.5,3.155909469,0,
11/28/13 4:00,0,0.369993997,8.562500079,0,0,439.2916667,3.403185248,124.3333333,3.08466054,0,
11/28/13 6:00,0,0.382980345,8.391666651,0,0,439,3.33612739,126.9166667,3.055322746,0,
11/28/13 8:00,0,0.377310103,9.158333381,0,0,439,3.927074601,120.9166667,3.629505475,0,
11/28/13 10:00,0,0.347650087,10.97916667,0,0,438.7916667,3.910310139,121.5833333,3.533109794,0.0696767,
11/28/13 12:00,0,0.338138382,12.69999997,0,0,438.625,3.281642914,125.4166667,2.858340293,0.09754738,
11/28/13 14:00,0,0.337488561,13.34583334,0,0,438.9166667,2.950544864,127.9583333,2.594300061,0,
11/28/13 16:00,0,0.353223534,13.09166678,0,0,439,2.447611074,134,2.17099751,0,
11/28/13 18:00,0,0.357422739,12.18333316,0,0,439,3.042749365,123.125,2.707460165,0,
11/28/13 20:00,0.025000001,0.354256809,11.80000019,0,0,439,3.202011704,126.0833333,2.912824829,0,
11/28/13 22:00,0.058333332,0.356653235,11.63333337,0,0,439,3.595976571,126.125,3.348700742,0,
11/29/13 0:00,0.008333333,0.359888721,11.24999996,0,0,439,3.801341166,122.125,3.495389789,0,
11/29/13 2:00,0,0.362886714,11.12500008,0,0,439,3.797150056,131.1666667,3.524727603,0,
11/29/13 4:00,0.016666667,0.365096339,11.02083333,0,0,439,3.872590095,129.375,3.533109824,0,
11/29/13 6:00,0.008333333,0.363272314,10.92499991,0,0,439,3.805532277,134.0416667,3.524727573,0,
11/29/13 8:00,0,0.347005588,11.7749999,0,0,438.2083333,3.269069572,131.6666667,2.921207031,0,
11/29/13 10:00,0,0.313102187,14.0333333,0,0,437.3333333,2.803855836,131.0416667,2.468566626,0,
11/29/13 12:00,0,0.281884701,15.5874999,0,0,437,2.858340313,130.2083333,2.409891029,0,
11/29/13 14:00,0,0.282455808,15.73749995,0,0,437.2916667,2.849958112,104,2.183570827,0,
11/29/13 16:00,0,0.305433029,14.52499998,0,0,438,1.567476951,83.58333333,1.047778707,0,
11/29/13 18:00,0,0.31236626,13.69583352,0,0,438.0833333,0.825649633,141.1666667,0.553227164,0,
11/29/13 20:00,0,0.306681465,13.6333334,0,0,438,1.135792126,153.3333333,0.955574205,0,
11/29/13 22:00,0,0.311280092,13.8416667,0,0,438,0.750209564,161.2083333,0.569991608,0,
11/30/13 0:00,0,0.323769292,13.65833358,0,0,438.0416667,0.72087176,174.5,0.536462699,0,
11/30/13 2:00,0,0.317366467,13.63333352,0,0,438.0833333,0.402347026,111.1666667,0.297569153,0,
11/30/13 4:00,0,0.306760134,13.61666675,0,0,438,0.70410729,225.0416667,0.540653814,0,
11/30/13 6:00,0,0.308132446,13.38750005,0,0,438,0.968147526,213.1666667,0.758591797,0,
11/30/13 8:00,0,0.311160598,13.65000006,0,0,437.8333333,1.345347861,32.91666667,1.173512153,0,
11/30/13 10:00,0,0.295363369,15.11666671,0,0,437,1.87342834,49.58333333,1.429170176,0,
11/30/13 12:00,0,0.323359602,15.39166657,0,0,437.0416667,2.087175176,168.8333333,1.58424141,0,
11/30/13 14:00,0,0.406851857,14.84166674,0,0,437.75,1.634534796,250.5416667,1.181894382,0,
11/30/13 16:00,0,0.453568856,12.72916663,0,0,438.8333333,1.269907802,60.08333333,0.972338652,0,
11/30/13 18:00,0,0.513229424,11.89583337,0,0,439.375,1.303436716,133.9166667,1.026823146,0,
11/30/13 20:00,0,0.62254939,11.23333335,0,0,440.2916667,2.715842446,319.6666667,2.3386421,0,
11/30/13 22:00,0,0.850301574,10.72083338,0,0,442.375,2.682313472,327.375,2.305113186,0,
12/1/13 0:00,0,0.540275815,11.30000015,0,0,441.125,2.221290867,329.4166667,1.8315172,0,
12/1/13 2:00,0,0.561660474,10.58749998,0,0,441,2.552388936,175.5,2.12908636,0,
12/1/13 4:00,0,0.67629722,9.599999984,0,0,441.8333333,3.235540658,129.4583333,2.615255654,0,
12/1/13 6:00,0,0.952247789,7.933333337,3.625,3.458333333,524.6666667,3.491198649,332.4166667,3.00083825,2.369007804,
12/1/13 8:00,0,0.8858783,8.645833373,2.166666667,1.625,456.5,3.943839063,318.5,3.445096393,0.01393534,
12/1/13 10:00,0,0.991156265,8.462499936,0,0,445.2916667,4.124056985,317,3.600167622,0.03483835,
12/1/13 12:00,0,0.863433865,9.020833333,0,0,444.375,4.337803831,316.625,3.826487859,0.00696767,
12/1/13 14:00,0,0.864324912,8.733333389,0.458333333,0,445.8333333,5.041911205,314.25,4.253981541,0.00696767,
12/1/13 16:00,0,1.027469382,6.837499996,5,4.583333333,517.7083333,4.660519709,298.25,4.023470243,0.989409142,
12/1/13 18:00,0,1.043075879,6.408333381,5,5,717.0833333,5.146689077,325.5833333,4.551550706,3.037904125,
12/1/13 20:00,0,1.047998627,6.379166683,5,5,977.4583333,4.119865835,320.0416667,3.650461018,3.163322185,
12/1/13 22:00,0,1.052304919,6.941666722,5,5,949.4583333,3.248114015,317.9583333,2.627829,2.069397993,
12/2/13 0:00,0,1.056006491,6.825000087,5,5,988.2083333,2.145850822,323.4166667,1.806370502,1.066053512,
12/2/13 2:00,0,0.938954259,6.333333373,4.166666667,3.958333333,768,1.165129931,172.2083333,0.884325239,0,
12/2/13 4:00,0,0.51051961,8.270833453,0,0,444.0833333,2.694886824,135.5833333,2.175188606,0,
12/2/13 6:00,0,0.392664477,7.975000203,0,0,442.5416667,3.059513827,127.625,2.606873453,0.00696767,
12/2/13 8:00,0,0.360028356,8.141666671,0,0,441.4583333,3.16429171,124,2.766135802,0,
12/2/13 10:00,0,0.332515267,9.858333349,0,0,440.125,3.554065386,119.7083333,2.91701594,0,
12/2/13 12:00,0,0.300006821,12.02083333,0,0,439.0416667,2.803855846,106.625,2.04107296,0,
12/2/13 14:00,0,0.285794226,12.64583337,0,0,439,2.233864218,105.5833333,1.588432526,0,
12/2/13 16:00,0,0.309980157,11.77916662,0,0,439,2.091366316,119.5833333,1.563285828,0,
12/2/13 18:00,0,0.3391963,10.84583342,0,0,439.875,2.300922046,114.5416667,1.747694885,0,
12/2/13 20:00,0,0.353140367,10.75833344,0,0,440,2.619446779,120.5,2.284157584,0,
12/2/13 22:00,0,0.379086331,10.41666647,0,0,440,2.824811409,126.0416667,2.464375526,0,
12/3/13 0:00,0,0.377408627,9.991666675,0,0,440,3.445096393,123.625,3.076278319,0,
12/3/13 2:00,0,0.379045911,9.479166706,0,0,440,4.0025147,122.7083333,3.541492045,0,
12/3/13 4:00,0.21666667,0.376806084,9.004166603,0,0,440,4.568315148,123.7916667,4.119865894,0,
12/3/13 6:00,0.808333335,0.38263951,8.479166746,0,0,440.0416667,5.125733495,122.5,4.484492898,0,
12/3/13 8:00,0.816666656,0.443636431,7.995833457,0.333333333,0,443.0833333,5.343671441,116.8333333,4.706621995,0.00696767,
12/3/13 10:00,1.033333328,0.436718808,8.795833349,0,0,441.0833333,5.314333578,121.3333333,4.643755198,0,
12/3/13 12:00,0.400000013,0.510084921,8.825000008,0,0,441,4.91617769,121.75,4.354568273,0,
12/3/13 14:00,0.216666672,0.552435478,8.508333345,2.5,1.708333333,453.5416667,4.459346185,124.4583333,3.968985746,0,
12/3/13 16:00,0,0.677255596,7.112499932,0.291666667,0,445.7083333,3.738474449,124.5,3.357082973,0,
12/3/13 18:00,0,0.609973965,7.520833333,0,0,443.3333333,3.466051966,124.3333333,3.101424972,0,
12/3/13 20:00,0,0.568578025,8.000000258,0,0,443,3.290025145,123.25,2.900251468,0,
12/3/13 22:00,0,0.568921531,8.100000381,0,0,443,3.612740984,131.9583333,3.214585076,0,
12/4/13 0:00,0,0.569598461,8.11250031,0,0,443.125,3.482816428,133.375,3.181056142,0,
12/4/13 2:00,0,0.560497197,8.108333667,0,0,443,3.290025125,137,2.887678166,0,
12/4/13 4:00,0,0.567763612,8.100000381,0,0,443.125,3.126571685,130.8333333,2.766135812,0,
12/4/13 6:00,0,0.548676809,8.166666706,0,0,443,3.575020949,122.6666667,3.160100579,0,
12/4/13 8:00,0,0.512750952,8.845833182,0,0,441.75,3.524727553,122.25,3.143336127,0,
12/4/13 10:00,0,0.447862431,10.94166672,0,0,440.3333333,3.83067896,118.7916667,3.24811399,0,
12/4/13 12:00,0,0.43140244,12.50833329,0,0,440,3.285834024,119.25,2.75356245,0,
12/4/13 14:00,0,0.463024668,12.64583349,0,0,441,2.83319367,122.625,2.279966493,0,
12/4/13 16:00,0,0.465275088,12.375,0,0,441,2.351215422,123.625,1.923721721,0,
